Run_No,Batch_ID,DOE_Trial_ID,Execution_Order,Design_Type,Is_Center_Point,Syn_Wax_Pct,Can_Wax_Pct,Dimethicone_Pct,Caprylyl_Pct,Fill_Temp_C,Batch_Weight_g,Fixed_Components_g,Syn_Wax_g,Can_Wax_g,Pure_Dimethicone_g,Caprylyl_g,MQ_Resin_Soln_g,Operator,Mfg_Date,Actual_Fill_Temp_C,Measured_Hardness_gf,Measured_Transfer_g,Measured_Drop_Point_C,QC_Status
01,GS40-P001,DOE-EXP-001,14,Vertex_HighSyn_HighDim,FALSE,15.0,2.0,22.0,6.0,80.0,1000.0,630.0,150.0,20.0,140.0,60.0,200.0,,,80.0,,,PLANNED
02,GS40-P002,DOE-EXP-002,13,Vertex_HighSyn_LowDim_Tmin,FALSE,15.0,2.0,12.0,16.0,75.0,1000.0,630.0,150.0,20.0,40.0,160.0,200.0,,,75.0,,,PLANNED
03,GS40-P003,DOE-EXP-003,05,Vertex_LowSyn_HighDim_Tmax,FALSE,9.0,8.0,22.0,6.0,85.0,1000.0,630.0,90.0,80.0,140.0,60.0,200.0,,,85.0,,,PLANNED
04,GS40-P004,DOE-EXP-004,10,Vertex_LowSyn_LowDim,FALSE,9.0,8.0,12.0,16.0,80.0,1000.0,630.0,90.0,80.0,40.0,160.0,200.0,,,80.0,,,PLANNED
05,GS40-P005,DOE-EXP-005,06,Axial_WaxMax,FALSE,15.0,2.0,17.0,11.0,75.0,1000.0,630.0,150.0,20.0,90.0,110.0,200.0,,,75.0,,,PLANNED
06,GS40-P006,DOE-EXP-006,08,Axial_WaxMin,FALSE,9.0,8.0,17.0,11.0,85.0,1000.0,630.0,90.0,80.0,90.0,110.0,200.0,,,85.0,,,PLANNED
07,GS40-P007,DOE-EXP-007,17,Axial_SilMax,FALSE,12.0,5.0,22.0,6.0,75.0,1000.0,630.0,120.0,50.0,140.0,60.0,200.0,,,75.0,,,PLANNED
08,GS40-P008,DOE-EXP-008,07,Axial_SilMin,FALSE,12.0,5.0,12.0,16.0,85.0,1000.0,630.0,120.0,50.0,40.0,160.0,200.0,,,85.0,,,PLANNED
09,GS40-P009,DOE-EXP-009,11,Axial_TempMin,FALSE,12.0,5.0,17.0,11.0,75.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,75.0,,,PLANNED
10,GS40-P010,DOE-EXP-010,16,Axial_TempMax,FALSE,12.0,5.0,17.0,11.0,85.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,85.0,,,PLANNED
11,GS40-P011,DOE-EXP-011,02,Interior_Low,FALSE,10.5,6.5,14.5,13.5,80.0,1000.0,630.0,105.0,65.0,65.0,135.0,200.0,,,80.0,,,PLANNED
12,GS40-P012,DOE-EXP-012,12,Interior_High,FALSE,13.5,3.5,19.5,8.5,80.0,1000.0,630.0,135.0,35.0,115.0,85.0,200.0,,,80.0,,,PLANNED
13,GS40-P013,DOE-EXP-013,03,Centroid_Replicate_1,TRUE,12.0,5.0,17.0,11.0,80.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,80.0,,,PLANNED
14,GS40-P014,DOE-EXP-014,15,Centroid_Replicate_2,TRUE,12.0,5.0,17.0,11.0,80.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,80.0,,,PLANNED
15,GS40-P015,DOE-EXP-015,18,Centroid_Replicate_3,TRUE,12.0,5.0,17.0,11.0,80.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,80.0,,,PLANNED
16,GS40-P016,DOE-EXP-016,09,Centroid_Replicate_4,TRUE,12.0,5.0,17.0,11.0,80.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,80.0,,,PLANNED
17,GS40-P017,DOE-EXP-017,01,Supplemental_Temp_78C,FALSE,12.0,5.0,17.0,11.0,78.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,78.0,,,PLANNED
18,GS40-P018,DOE-EXP-018,04,Supplemental_Temp_82C,FALSE,12.0,5.0,17.0,11.0,82.0,1000.0,630.0,120.0,50.0,90.0,110.0,200.0,,,82.0,,,PLANNED
